,raw
532,0.815
533,0.82
534,0.805
535,0.735
536,0.81
537,0.825
538,0.805
539,0.81
540,0.75
541,0.795
542,0.81
543,0.8
544,0.805
545,0.74
546,0.83
547,0.815
548,0.82
549,0.815
550,0.715
551,0.785
552,0.825
553,0.8
554,0.805
555,0.74
556,0.84
557,0.835
558,0.825
559,0.81
560,0.77
561,0.815
562,0.815
563,0.825
564,0.805
565,0.73
566,0.785
567,0.8
568,0.8
569,0.81
570,0.73
571,0.81
572,0.825
573,0.805
574,0.83
575,0.745
576,0.795
577,0.83
578,0.8
579,0.805
580,0.71
581,0.785
582,0.845
583,0.82
584,0.81
585,0.74
586,0.81
587,0.825
588,0.82
589,0.83
590,0.735
591,0.81
592,0.825
593,0.82
594,0.815
595,0.75
596,0.82
597,0.83
598,0.83
599,0.825
600,0.5
601,0.52
602,0.53
603,0.51
604,0.505
605,0.525
606,0.55
607,0.545
608,0.54
609,0.595
610,0.535
611,0.57
612,0.575
613,0.59
614,0.595
615,0.535
616,0.56
617,0.615
618,0.565
619,0.57
620,0.57
621,0.6
622,0.625
623,0.585
624,0.6
625,0.545
626,0.625
627,0.6
628,0.625
629,0.665
630,0.58
631,0.665
632,0.64
633,0.665
634,0.705
635,0.53
636,0.645
637,0.635
638,0.645
639,0.69
640,0.605
641,0.625
642,0.68
643,0.695
644,0.69
645,0.625
646,0.66
647,0.745
648,0.665
649,0.685
650,0.59
651,0.7
652,0.695
653,0.655
654,0.77
655,0.61
656,0.705
657,0.715
658,0.705
659,0.745
660,0.66
661,0.665
662,0.73
663,0.69
664,0.695
665,0.61
666,0.655
667,0.72
668,0.745
669,0.755
670,0.655
671,0.725
672,0.75
673,0.705
674,0.725
675,0.65
676,0.675
677,0.73
678,0.75
679,0.755
680,0.585
681,0.695
682,0.73
683,0.76
684,0.78
685,0.635
686,0.775
687,0.76
688,0.755
689,0.785
690,0.665
691,0.71
692,0.735
693,0.745
694,0.755
695,0.73
696,0.69
697,0.76
698,0.735
699,0.755
700,0.715
701,0.72
702,0.73
703,0.74
704,0.755
705,0.73
706,0.75
707,0.77
708,0.745
709,0.735
710,0.7
711,0.75
712,0.745
713,0.73
714,0.735
715,0.735
716,0.785
717,0.77
718,0.745
719,0.775
720,0.69
721,0.745
722,0.765
723,0.745
724,0.755
725,0.72
726,0.735
727,0.755
728,0.76
729,0.77
730,0.64
731,0.745
732,0.75
733,0.755
734,0.78
735,0.675
736,0.76
737,0.79
738,0.765
739,0.78
740,0.67
741,0.775
742,0.755
743,0.76
744,0.75
745,0.71
746,0.765
747,0.76
748,0.75
749,0.765
750,0.7
751,0.725
752,0.77
753,0.775
754,0.775
755,0.705
756,0.79
757,0.76
758,0.75
759,0.785
760,0.72
761,0.75
762,0.77
763,0.77
764,0.805
765,0.725
766,0.78
767,0.76
768,0.795
769,0.78
770,0.68
771,0.775
772,0.78
773,0.775
774,0.8
775,0.7
776,0.76
777,0.77
778,0.765
779,0.79
780,0.7
781,0.765
782,0.76
783,0.765
784,0.79
785,0.695
786,0.725
787,0.79
788,0.785
789,0.775
790,0.72
791,0.785
792,0.78
793,0.775
794,0.79
795,0.72
796,0.77
797,0.77
798,0.78
799,0.795
800,0.5
801,0.535
802,0.56
803,0.575
804,0.515
805,0.555
806,0.605
807,0.585
808,0.59
809,0.59
810,0.58
811,0.615
812,0.685
813,0.615
814,0.615
815,0.595
816,0.605
817,0.635
818,0.685
819,0.6
820,0.59
821,0.66
822,0.625
823,0.665
824,0.645
825,0.61
826,0.69
827,0.645
828,0.67
829,0.645
830,0.64
831,0.665
832,0.67
833,0.735
834,0.7
835,0.655
836,0.65
837,0.685
838,0.75
839,0.73
840,0.64
841,0.685
842,0.73
843,0.755
844,0.72
845,0.695
846,0.72
847,0.755
848,0.745
849,0.745
850,0.715
851,0.695
852,0.765
853,0.745
854,0.75
855,0.705
856,0.735
857,0.755
858,0.73
859,0.77
860,0.705
861,0.755
862,0.765
863,0.765
864,0.755
865,0.725
866,0.76
867,0.78
868,0.795
869,0.76
870,0.715
871,0.75
872,0.775
873,0.775
874,0.795
875,0.685
876,0.675
877,0.76
878,0.785
879,0.765
880,0.755
881,0.735
882,0.755
883,0.775
884,0.75
885,0.715
886,0.775
887,0.79
888,0.765
889,0.74
890,0.745
891,0.76
892,0.76
893,0.785
894,0.76
895,0.67
896,0.735
897,0.775
898,0.76
899,0.755
900,0.69
901,0.77
902,0.755
903,0.76
904,0.765
905,0.705
906,0.775
907,0.765
908,0.79
909,0.795
910,0.695
911,0.745
912,0.785
913,0.805
914,0.755
915,0.73
916,0.785
917,0.785
918,0.77
919,0.775
920,0.735
921,0.745
922,0.765
923,0.81
924,0.755
925,0.72
926,0.79
927,0.75
928,0.785
929,0.805
930,0.72
931,0.785
932,0.765
933,0.78
934,0.81
935,0.73
936,0.795
937,0.75
938,0.795
939,0.755
940,0.74
941,0.78
942,0.75
943,0.8
944,0.785
945,0.72
946,0.775
947,0.765
948,0.795
949,0.79
950,0.76
951,0.775
952,0.75
953,0.805
954,0.785
955,0.72
956,0.775
957,0.77
958,0.795
959,0.785
960,0.74
961,0.765
962,0.8
963,0.785
964,0.785
965,0.755
966,0.78
967,0.775
968,0.79
969,0.805
970,0.725
971,0.775
972,0.77
973,0.805
974,0.785
975,0.75
976,0.785
977,0.77
978,0.77
979,0.8
980,0.74
981,0.79
982,0.78
983,0.79
984,0.775
985,0.745
986,0.765
987,0.8
988,0.775
989,0.78
990,0.75
991,0.785
992,0.81
993,0.79
994,0.8
995,0.76
996,0.79
997,0.8
998,0.805
999,0.775
1000,0.5
1001,0.535
1002,0.6
1003,0.56
1004,0.565
1005,0.53
1006,0.615
1007,0.595
1008,0.61
1009,0.62
1010,0.57
1011,0.63
1012,0.655
1013,0.67
1014,0.69
1015,0.625
1016,0.66
1017,0.665
1018,0.685
1019,0.72
1020,0.61
1021,0.725
1022,0.725
1023,0.695
1024,0.72
1025,0.64
1026,0.665
1027,0.725
1028,0.725
1029,0.71
1030,0.645
1031,0.76
1032,0.74
1033,0.72
1034,0.77
1035,0.655
1036,0.73
1037,0.775
1038,0.755
1039,0.745
1040,0.635
1041,0.75
1042,0.755
1043,0.805
1044,0.79
1045,0.69
1046,0.785
1047,0.805
1048,0.805
1049,0.78
1050,0.62
1051,0.765
1052,0.785
1053,0.805
1054,0.755
1055,0.65
1056,0.775
1057,0.795
1058,0.775
1059,0.77
1060,0.675
1061,0.75
1062,0.795
